name,activeIngredient,manufacturer,description,formFactor,country,currency,price,image
Semanat Injection vial of 1 injection,Semaglutide,Natco Pharma,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1289,https://drive.google.com/file/d/1II5yQhADOcdnC5bIzMWo9dditaVewPNG/view?usp=drivesdk
Glipiq 1mg Injection box of 1 injection,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Injection,,,₹1298,https://drive.google.com/file/d/1s0L4NIzSOX9np-fEzT-axcu7GIuiFTQV/view?usp=drivesdk
Semaglu 2 Pre-filled Pen box of 1 injection,Semaglutide,Mankind Pharma Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹6992,https://drive.google.com/file/d/1eSyqxn9yOw_Eaab_Sszzxa4syWmW2xjP/view?usp=drivesdk
Semabest 2mg Injection box of 1 pre-filled pen,Semaglutide,MSN Laboratories,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3990,https://drive.google.com/file/d/1a8csS58ft3ID-olvwlMRBfr_9vPRky9a/view?usp=drivesdk
"Hepaglide 2.4mg Injection (1 Multi-dose Disposable Pen, 4 Needle, 4 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3497,https://drive.google.com/file/d/13EFSFEF49eWfvtAAkeeNpqHUUd8PNGe5/view?usp=drivesdk
"Semasize 0.25mg/0.5 Injection (1 Multi-dose Disposable Pen, 6 Needle, 6 Alcohol Swab) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹1900,https://drive.google.com/file/d/1YblyCe5N5s_fPVp4sURebWLmPzb0hTL-/view?usp=drivesdk
Obeda 14mg Tablet strip of 10 tablets,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹2248,https://drive.google.com/file/d/1QUCkEsWna2ZhRxy_3iPJnBheolN9j93z/view?usp=drivesdk
Glipiq 0.25mg/0.5mg Injection box of 1 injection,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Injection,,,₹1298,https://drive.google.com/file/d/1fbn1MPovzcJXgZF67Y870s7lVjuowNuW/view?usp=drivesdk
Semabest 4mg Injection box of 1 pre-filled pen,Semaglutide,MSN Laboratories,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4486,https://drive.google.com/file/d/1d7yfqLAQG_UbTU6WxKys5ygMHnwvcdAL/view?usp=drivesdk
Olymviq 2mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4200,https://drive.google.com/file/d/1qKarH3T7L2cQo6WzA-Svhxg6pIi3Q_43/view?usp=drivesdk
Mashlo 4mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹4196,https://drive.google.com/file/d/17piux2udM--jjPghLCoWvCa6hLjag-ig/view?usp=drivesdk
Semalix 14 Tablet strip of 10 tablets,Semaglutide,Torrent Pharmaceuticals Ltd,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹2537,https://drive.google.com/file/d/1z433jmBS66bl5QrVjEYaF_lvhH5_PbvQ/view?usp=drivesdk
Obeda 7mg Tablet strip of 10 tablets,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹1349,https://drive.google.com/file/d/1XNzBtTVCha-2hE04bmPBHsZRet69FtiW/view?usp=drivesdk
Obeda 3mg Tablet strip of 10 tablets,Semaglutide,Dr. Reddy's,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Tablet,,,₹989,https://drive.google.com/file/d/1FZOtJnyutPLWjTJhxT-msKZP8WZZ2lTk/view?usp=drivesdk
BluVial 2mg Injection box of 1 injection,Semaglutide,Eris Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1753,https://drive.google.com/file/d/1cxy9mEvUYsAUpjPuHiGjDbN5KfEsWgX6/view?usp=drivesdk
Sundae Vial 2mg Injection box of 1 injection,Semaglutide,Eris Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1753,https://drive.google.com/file/d/1vFcdZP6uEBUcTsyIXWMoAB5mEOeFRjFY/view?usp=drivesdk
Sundae Vial 1mg Injection box of 1 injection,Semaglutide,Eris Lifesciences,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Vial,,,₹1294,https://drive.google.com/file/d/1pPBS4IsniJCDfIIhdMnW__IMPAfuy4iU/view?usp=drivesdk
Glipiq 4mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3795,https://drive.google.com/file/d/1tZFRSK_XmWpxk0WPQkLWsp9dr84JVK8b/view?usp=drivesdk
Glipiq 8mg Pre-filled Pen box of 1 pre-filled pen,Semaglutide,Glenmark,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3995,https://drive.google.com/file/d/1QG4t-i5XqLQ1j4lYOxRK8DI4ukN2l3Xf/view?usp=drivesdk
"Obesema 2.4mg Injection (1 Multi-dose Disposable Pen, 4 Needles, 4 Alcohol Swabs) box of 1 pre-filled pen",Semaglutide,Alkem Labs,"Semaglutide is an anti-diabetic medication used for the treatment of type 2 diabetes, and an anti-obesity medication used for long-term weight management and to reduce the risk of major adverse cardiovascular events. It is a peptide similar to the hormone glucagon-like peptide-1 (GLP-1), modified with a side chain. It can be administered by subcutaneous injection or taken orally. It is sold as a generic drug by several drug companies in the Indian and Canadian markets, and worldwide by its originator, Novo Nordisk, under the brand names Ozempic and Rybelsus for diabetes, and under the brand name Wegovy for weight management, weight loss, and metabolic-associated steatohepatitis.",Pre-filled Pen,,,₹3497,https://drive.google.com/file/d/1Ygi8KU95LfwijY_0BPei3EHxWkBN6Azg/view?usp=drivesdk
Mounjaro 2.5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹13125,https://drive.google.com/file/d/1rv-ofu3lzMMZojMmBLtPkENnL9oF-GDU/view?usp=drivesdk
Yurpeak 2.5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Cipla,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹13125,https://drive.google.com/file/d/1s6DY2mAYDhNm_BMOzz1jP4mlArTb6Vup/view?usp=drivesdk
Mounjaro 5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹16406,https://drive.google.com/file/d/18e_iBfLK_FbhQr626mnZfgjvTbtDbc3p/view?usp=drivesdk
Mounjaro 10mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹20625,https://drive.google.com/file/d/1s9bqQCEB3yghOXrMYZ8iIzZIpiqAA1M8/view?usp=drivesdk
Mounjaro 7.5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹20625,https://drive.google.com/file/d/1D_HNO-ILfL2ZwjiL6741r58TlFHsDbfL/view?usp=drivesdk
Mounjaro 15mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹25781,https://drive.google.com/file/d/1A0Ne905UAxM62grTJbuyQgFoxgGkrOyr/view?usp=drivesdk
Mounjaro 12.5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹25781,https://drive.google.com/file/d/105JwqZ8PsyRxqwBSafi_BmPSUULIoOkC/view?usp=drivesdk
Mounjaro 5mg Solution for Injection vial of 0.5 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Vial,,,₹4101,https://drive.google.com/file/d/1C_OGHeSBIxQWCBmwR8Te7c3_BViEG6qn/view?usp=drivesdk
Mounjaro 2.5mg Solution for Injection vial of 0.5 ml solution for injection,Tirzepatide,Eli Lilly,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Vial,,,₹3281,https://drive.google.com/file/d/190yCbQBaCJ-KQoh0aSkA9iTOsnLFtq75/view?usp=drivesdk
Yurpeak 5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Cipla,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹16406.25,https://drive.google.com/file/d/1BTK0vnfGro4Dpmlq42c7mBIcfRn0r-RU/view?usp=drivesdk
Yurpeak 12.5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Cipla,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹25781,https://drive.google.com/file/d/15Y7tgLp7R-9kHhnVI215ex6n_Ntup2qD/view?usp=drivesdk
Yurpeak 10mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Cipla,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹20625,https://drive.google.com/file/d/1kFVccDZbgO5Qgm7DDHUyAytVdE4LnE3F/view?usp=drivesdk
Yurpeak 7.5mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Cipla,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹20625,https://drive.google.com/file/d/1UYc7HlWCIo7Rv-dX7mo0ZKAo21Su4SXP/view?usp=drivesdk
Yurpeak 15mg KwikPen pre-filled pen of 3 ml solution for injection,Tirzepatide,Cipla,Tirzepatide is a gastric inhibitory polypeptide (GIP) analog and a GLP-1 receptor agonist. It is used as an antidiabetic medication to treat type 2 diabetes and for weight loss. Tirzepatide is administered via subcutaneous injections. It is sold in several countries under the brand name Mounjaro for diabetes treatment. In the United States it is sold under the brand name Zepbound for weight loss and treatment of obstructive sleep apnea.,Pre-filled Pen,,,₹25781,https://drive.google.com/file/d/15d87tnkx9WiA0LtWHjKBdFIKuAxQcI9G/view?usp=drivesdk
Lirafit Solution for Injection pre-filled pen of 3 ml solution for injection,Liraglutide,Glenmark Pharmaceuticals,"Liraglutide, sold under the brand name Victoza among others, is an anti-diabetic medication used to treat type 2 diabetes, and chronic obesity. It is a second-line therapy for diabetes following first-line therapy with metformin. Its effects on long-term health outcomes like heart disease and life expectancy are unclear. It is given by injection under the skin.",Pre-filled Pen,,,₹2085.94,https://drive.google.com/file/d/1Hegf4gWwspytRc6nS9tR128oAR9Zhpsn/view?usp=drivesdk
Erly Prefilled Pen pre-filled pen of 3 ml solution for injection,Liraglutide,Eris Lifesciences,"Liraglutide, sold under the brand name Victoza among others, is an anti-diabetic medication used to treat type 2 diabetes, and chronic obesity. It is a second-line therapy for diabetes following first-line therapy with metformin. Its effects on long-term health outcomes like heart disease and life expectancy are unclear. It is given by injection under the skin.",Pre-filled Pen,,,₹2062.5,https://drive.google.com/file/d/1-D_VnJWqlZ6QH1mRCqweO1Y4cv-8TXqz/view?usp=drivesdk
Gliptoza Pre-filled Pen pre-filled pen of 3 ml solution for injection,Liraglutide,Eris Lifesciences,"Liraglutide, sold under the brand name Victoza among others, is an anti-diabetic medication used to treat type 2 diabetes, and chronic obesity. It is a second-line therapy for diabetes following first-line therapy with metformin. Its effects on long-term health outcomes like heart disease and life expectancy are unclear. It is given by injection under the skin.",Pre-filled Pen,,,₹1875,https://drive.google.com/file/d/1v2-AhQdfuj4-BtPtljMn4D9PLdqw4j8r/view?usp=drivesdk
Lyrato Solution for Injection pre-filled pen of 3 ml solution for injection,Liraglutide,Eris Lifesciences,"Liraglutide, sold under the brand name Victoza among others, is an anti-diabetic medication used to treat type 2 diabetes, and chronic obesity. It is a second-line therapy for diabetes following first-line therapy with metformin. Its effects on long-term health outcomes like heart disease and life expectancy are unclear. It is given by injection under the skin.",Pre-filled Pen,,,₹1873,https://drive.google.com/file/d/11yPQ4MqLZ4zK4obFCQWNWddbNBSvuKoQ/view?usp=drivesdk
Victoza Solution for Injection pre-filled pen of 3 ml solution for injection,Liraglutide,Novo Nordisk,"Liraglutide, sold under the brand name Victoza among others, is an anti-diabetic medication used to treat type 2 diabetes, and chronic obesity. It is a second-line therapy for diabetes following first-line therapy with metformin. Its effects on long-term health outcomes like heart disease and life expectancy are unclear. It is given by injection under the skin.",Pre-filled Pen,,,₹4986,https://drive.google.com/file/d/1otznC_ydgA1YNp9RWRVc-lipaMRsi27i/view?usp=drivesdk
Xultophy Injection pre-filled pen of 3 ml injection,Liraglutide,Novo Nordisk,"Liraglutide, sold under the brand name Victoza among others, is an anti-diabetic medication used to treat type 2 diabetes, and chronic obesity. It is a second-line therapy for diabetes following first-line therapy with metformin. Its effects on long-term health outcomes like heart disease and life expectancy are unclear. It is given by injection under the skin.",Pre-filled Pen,,,₹5376.94,https://drive.google.com/file/d/1XUxOpp2646PAQjPTGMSBOCPwnMjQk_Ug/view?usp=drivesdk